id,kind,lat,lng,r
40002465,1,22.4371117,114.0798981,1024
10706,0,22.4372700,114.0804000,989
40002474,1,22.4264303,114.1089214,711
40042612,1,22.2463770,114.1714590,314
40032530,1,22.4892335,114.1320575,248
40002479,1,22.4180207,114.1159527,33
40042630,1,22.4990355,114.1390270,272
33377,0,22.5983330,114.5416667,1000
40000065,0,22.6068402,114.5511818,1000
40002452,1,22.1993086,114.2214005,578
10685,0,22.2116430,114.2189530,238
40002435,1,22.2785574,114.1573464,111
40002444,1,22.3229993,114.1558679,66
40002471,1,22.3398313,114.1769229,29
40002464,1,22.5116875,114.1522310,274
40042572,1,22.4997525,114.1379640,70
40002434,1,22.3197381,114.1426567,856
40002450,1,22.2846833,114.1649417,180
40002442,1,22.2812898,114.1921853,23
40002468,1,22.4813622,114.0704020,13
40042594,1,22.4517592,114.1734752,75
33332,0,22.3394080,114.2457050,200
40002480,1,22.4212985,114.1119414,365
40002494,1,22.3037675,114.2157700,65
40042619,1,22.2856540,114.2251080,115
40002477,1,22.4287164,114.1051820,226
40042585,1,22.3275130,114.1691170,156
40002481,1,22.4280367,114.1068838,202
40002469,1,22.4798083,114.0681345,454
40002446,1,22.2882429,114.1424977,26
40002449,1,22.2758372,114.1624129,53
40002433,1,22.3190861,114.1365757,839
40025611,1,22.3339787,114.2006576,62
40042636,1,22.3232755,114.1834565,79
40002436,1,22.2810425,114.1657236,163
40002476,1,22.4287164,114.1051820,226
40002453,1,22.2032518,114.2160272,608
40002438,1,22.2808782,114.1603954,52
960003780,1,22.6997246,114.4300456,36
960003797,1,22.5468071,114.0256939,2603
679300,1,24.3131815,116.1300071,14329
679301,1,24.2134712,116.0668332,14323
160400,1,23.0696853,114.6474106,14453
160401,1,23.0265501,114.5543559,14454
263600,1,26.8291571,114.6891698,13665
263601,1,26.8875122,114.7825097,13713
504300,1,25.8984067,114.8246096,14299
504301,1,25.8082249,114.7333300,14193
960003083,1,25.9608456,116.0782001,5202
960003081,1,25.9609927,116.1115066,6219
960003082,1,25.9491433,116.0360668,4693
3321400,1,27.8474747,114.3472303,14541
3321401,1,27.7524713,114.2623970,14577
960001576,0,28.6410878,115.8081777,500
807500,1,30.7534456,114.2225023,19495
807501,1,30.7992107,114.2066687,19506
4004502800,1,29.4270463,115.7728721,14473
4004502801,1,29.5272600,115.8304194,14469
4000216800,1,30.3467070,115.0242340,18960
4000216801,1,30.3329436,115.0548328,18902
960001585,0,30.5502996,114.3446876,500
960001562,0,30.5485006,114.3363483,500
3276300,1,32.9322023,115.7445408,13982
3276301,1,32.8325528,115.7240126,13983
960003562,1,33.5632676,115.8473892,3626
960003560,1,33.5603574,115.9173692,4621
960003561,1,33.5582530,115.8790137,4508
960003559,1,33.5648343,115.9647538,4668
4000160800,1,35.1708036,115.7761928,13974
4000160801,1,35.2571800,115.6972326,13974
137800,1,36.4749819,114.3836760,15107
137801,1,36.5745722,114.4634132,15033
781000,1,36.8396678,114.4804103,14425
781001,1,36.9247245,114.3797136,14427
4004769900,1,35.8192991,114.4505886,13946
4004769901,1,35.9193959,114.4812905,13945
834200,1,38.3200024,114.6380524,14969
834201,1,38.2421399,114.7552653,14928
960001556,0,38.0370024,114.5244770,500
972300,1,40.7301324,114.9966465,13833
972301,1,40.7491158,114.8648832,13835
9371,0,39.9074800,116.3913720,30000
960003588,1,40.2500038,116.5833320,97316
960003586,1,40.2833339,116.0000006,108678
777200,1,43.8611538,115.9375006,14129
777201,1,43.9621235,115.9826709,14214
3276200,1,23.5001607,116.4735059,14392
3276201,1,23.6023274,116.5325831,14277
372100,1,25.7254825,116.7591675,14012
372101,1,25.6246415,116.7333616,14013
3321000,1,26.3717436,117.7930042,14153
3321001,1,26.4733267,117.8775130,14711
3321200,1,28.3266822,117.9216506,14392
3321201,1,28.4266987,118.0116764,14443
807700,1,27.7504325,118.0133271,14152
807701,1,27.6488594,117.9856476,14153
261900,1,29.2901630,117.1469331,14413
261901,1,29.3898278,117.2078674,14233
274100,1,30.7652155,117.6284597,14124
274101,1,30.7183271,117.7423465,14295
114300,1,30.5382579,117.0037516,14280
114301,1,30.6292262,117.0966903,14349
140600,1,32.0274932,116.9247896,14879
140601,1,31.9491667,117.0285347,14720
960001575,0,31.7380124,117.3238471,730
960001596,0,31.8630770,117.2893490,500
960003803,1,33.1441674,116.9991674,14200
784000,1,34.0358515,117.5058249,14383
784001,1,34.0808028,117.6074971,14374
960003804,1,33.1874998,117.1166666,14149
4004291900,1,35.6796950,116.7932875,13033
4004291901,1,35.6180470,116.6871015,13034
751300,1,36.9008480,117.1984143,14415
751301,1,36.8149902,117.2366045,14506
960001584,0,36.6506082,116.9977672,500
960001561,0,36.6698318,117.0149349,500
33237,0,40.2418451,116.3834025,500
768100,1,39.7067584,117.9457295,13759
768101,1,39.7282478,118.0600414,13954
580300,1,40.0423727,116.5333727,13300
580301,1,40.0800130,116.6027303,20170
762000,1,39.1266674,117.3165656,19034
762001,1,39.1283279,117.3970261,19208
4000006200,1,39.5122782,116.5569310,12513
4000006201,1,39.4490950,116.4512256,16964
4000006202,1,39.4988797,116.2789778,9972
4000006203,1,39.5354691,116.3667558,15197
960001570,0,39.0842847,117.1951957,500
960003587,1,40.5500034,117.1333356,74414
3276400,1,49.5720426,117.2561578,13578
3276401,1,49.5612299,117.4029243,13567
500200,1,24.4288800,118.3610100,5632
500201,1,24.4071855,118.3146380,2918
500202,1,24.4505775,118.4073990,2918
500203,1,24.4288400,118.3610350,17382
780200,1,24.4966827,118.0888246,14841
780201,1,24.5907913,118.1680548,14932
802200,1,23.3691900,119.5035950,4900
802201,1,23.3317155,119.4877925,2890
802202,1,23.4066720,119.5193960,2890
802203,1,23.3691950,119.5036750,16624
3255700,1,24.7399478,118.5678816,14397
3255701,1,24.8480070,118.6098531,14167
682500,1,23.5686200,119.6282450,5855
682501,1,23.6163083,119.6453828,2879
682502,1,23.5209302,119.6111035,2879
682503,1,23.5686200,119.6283350,17648
191300,1,23.2130900,119.4175550,4883
191301,1,23.1751425,119.4032765,2882
191302,1,23.2510305,119.4318315,2882
191303,1,23.2130900,119.4176350,16607
411100,1,26.1597700,119.9584650,5224
411101,1,26.1209955,119.9368390,2908
411102,1,26.1985520,119.9800995,2907
411103,1,26.1597700,119.9585700,16971
633900,1,26.2242800,120.0027900,5039
633901,1,26.1879065,119.9807515,2913
633902,1,26.2606530,120.0248285,2913
633903,1,26.2242750,120.0028850,16770
39300,1,25.9863035,119.6813324,14399
39301,1,25.8836874,119.6463803,14528
960001560,0,26.1062045,119.2923392,500
275200,1,28.9208167,118.8578008,14334
275201,1,29.0124795,118.9418525,14568
960003073,1,28.3740061,119.8496849,4541
960003075,1,28.3569117,119.7805676,4423
960003072,1,28.3850754,119.8901922,4423
960003074,1,28.3679746,119.8210577,4542
1589200,1,29.7606862,118.1975871,14558
1589201,1,29.7085243,118.3123564,14369
10243,0,30.2335280,120.1523420,151
960001559,0,30.2690924,120.1483537,500
4000154300,1,31.1519224,118.7064654,14701
4000154301,1,31.0561684,118.6268361,14746
425600,1,31.6757820,118.8175013,14947
425601,1,31.7858443,118.9077730,14821
218500,1,31.9115979,119.8345662,14070
218501,1,31.9292231,119.7170881,14088
3223600,1,32.6083069,119.6798062,13918
3223601,1,32.5233266,119.7602242,13886
960001574,0,32.0636411,118.7565487,500
4000174800,1,34.4637201,119.1953832,14130
4000174801,1,34.3634099,119.1625248,14131
143200,1,33.7328000,119.0981744,14381
143201,1,33.8414161,119.1562308,14373
972100,1,35.0941562,118.3934117,14293
972101,1,35.0091486,118.4307699,14207
791200,1,36.6908533,119.0714015,13812
791201,1,36.6058374,119.1660723,13884
4000160400,1,36.3300163,120.1468368,13838
4000160401,1,36.3606741,120.0775818,19191
3325000,1,35.4254852,119.2634620,14533
3325001,1,35.3811712,119.3881742,14538
68400,1,37.4616662,118.8029812,14087
68401,1,37.5567843,118.7650457,13282
3320000,1,39.6970544,119.1149781,13511
3320001,1,39.6289195,119.0045226,13334
960003786,0,39.8049166,119.3135223,50000
182900,1,42.2095578,118.8554305,13782
182901,1,42.1096017,118.8251241,13649
3277600,1,47.2723190,119.8508359,13703
3277601,1,47.3492806,119.9741913,13808
3324400,1,49.1800286,119.7624999,13783
3324401,1,49.2299775,119.8941667,13948
488000,1,22.5771000,120.3487900,5630
488001,1,22.5754909,120.4030773,2898
488002,1,22.5787125,120.2944875,2898
488003,1,22.5770250,120.3488450,17362
136800,1,22.0408950,120.7301850,5279
136801,1,22.0078323,120.7615556,2892
136802,1,22.0739577,120.6988182,2893
136803,1,22.0408850,120.7301150,17028
520900,1,22.0286000,121.5338400,5031
520901,1,22.0016398,121.5677702,2900
520902,1,22.0555600,121.4999106,2899
520903,1,22.0285850,121.5337900,16750
10059,0,22.6916350,120.4661010,3282
239800,1,22.6732250,121.4661800,4940
239801,1,22.6337284,121.4781393,2871
239802,1,22.7127206,121.4542457,2871
239803,1,22.6732200,121.4661050,16670
764800,1,22.7548650,121.1016500,5604
764801,1,22.7179870,121.0694511,2904
764802,1,22.7917442,121.1338523,2903
764803,1,22.7548600,121.1017300,17377
1569,0,24.8196280,120.9375420,2120
159700,1,24.0237000,121.6169400,5744
159701,1,24.0672228,121.6407747,2908
159702,1,23.9801715,121.5931000,2908
159703,1,24.0237000,121.6170300,17529
31501,0,24.1287780,120.5909590,915
215600,1,23.4636050,120.3905400,5868
215601,1,23.4106815,120.3911710,2880
